"ACCESSION_NUMBER","ID","PERSONSIGNATURE","PERSONTITLE","SIGNATUREDATE"
"0001669191-21-001179",2,"David Norris","Principal Financial Officer","2021-12-01"
"0001669191-21-001179",5,"David Norris","Board Member","2021-12-01"
"0001736664-21-000026",1,"Joseph Daniluk by Sean Fuellhart POA","CEO","2021-12-01"
"0001669191-21-001178",5,"Dwaine Parker","Board Member","2021-12-01"
"0001669191-21-001178",4,"Paul Inglese","Board Member","2021-12-01"
"0001669191-21-001178",3,"Scott Foster","Board Member","2021-12-01"
"0001669191-21-001178",2,"Scott Foster","Principal Financial Officer","2021-12-01"
"0001669191-21-001178",1,"Paul Inglese","Principal Executive Officer","2021-12-01"
"0001669191-21-001178",6,"Kilton  Agolli","Board Member","2021-12-01"
"0001665160-21-002135",1,"John Wildman","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-12-01"
"0001669191-21-001176",5,"Marshall Kaplan Ph.D.","Board Member","2021-12-01"
"0001669191-21-001176",4,"John Bauman","Board Member","2021-12-01"
"0001669191-21-001176",3,"John Bauman","Principal Accounting Officer","2021-12-01"
"0001669191-21-001176",2,"John Bauman","Principal Financial Officer","2021-12-01"
"0001669191-21-001176",1,"John Bauman","Principal Executive Officer","2021-12-01"
"0001644600-21-000136",1,"Jeremy Allam","Chief Executive Officer, Principal Financial Officer, Principal Accounting Officer, Director","2021-12-01"
"0001896560-21-000001",1,"Rebecca Tolbert","Owner","2021-12-01"
"0001889699-21-000003",1,"Lee James Parsons","CEO","2021-12-01"
"0001669191-21-001174",3,"Stuart Alexander","Principal Accounting Officer","2021-11-30"
"0001669191-21-001174",4,"Michael Hennesy","Board Member","2021-11-30"
"0001669191-21-001174",5,"Stuart Alexander","Board Member","2021-11-30"
"0001669191-21-001174",6,"Antonio Dutra","Board Member","2021-11-30"
"0001665160-21-002133",1,"Amari Ruff","President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer","2021-11-30"
"0001670254-21-001331",1,"Drew Leatham","Producer/Co-Writer","2021-11-23"
"0001670254-21-001331",2,"Sean Oliver Rob Blanchard","Director/Co-Writer","2021-11-23"
"0001864603-21-000002",1,"Vincent Marini","Manager of Blue Eyed Theatrical, LLC, the Managing Member of the Company","2021-11-30"
"0001670254-21-001334",2,"David R Aldrich","Manager North America","2021-11-19"
"0001670254-21-001334",3,"Lucie slavikova","Secretary","2021-11-19"
"0001670254-21-001334",4,"Patrick Moyal","CFO","2021-11-19"
"0001670254-21-001334",5,"Alexander Michaels","Founder","2021-11-19"
"0001746059-21-000579",1,"Christopher Becker","Director","2021-11-30"
"0001670254-21-001333",1,"Daniel Nolan","Treasurer","2021-11-29"
"0001670254-21-001333",2,"Jim Chu","Founder and CEO","2021-11-29"
"0001842838-21-000003",1,"Jonathan Gutwein","Managing Member","2021-11-30"
"0001842838-21-000003",2,"Benjy Berger","Managing Member","2021-11-30"
"0001864603-21-000005",1,"DeShuna Spencer","Sole Director","2021-11-30"
"0001842838-21-000005",1,"Joseph Reinke","Director and Chief Executive Officer","2021-11-30"
"0001842838-21-000005",2,"Robert Heldt","Director","2021-11-30"
"0001669191-21-001174",2,"Stuart Alexander","Principal Financial Officer","2021-11-30"
"0001669191-21-001174",1,"Stuart Alexander","Principal Executive Officer","2021-11-30"
"0001842838-21-000005",3,"Sam Pilli","Director","2021-11-30"
"0001670254-21-001334",1,"Robert Lauria","VP","2021-11-19"
"0001670254-21-001329",1,"Khalil Khouri","CPO","2021-11-04"
"0001670254-21-001329",2,"Felipe Jauregui","COO/Co-founder","2021-11-04"
"0001670254-21-001329",3,"Andres Avello","CEO/Co-Founder","2021-11-04"
"0001644600-21-000135",1,"Tara Schiller","CEO, President, Secretary, CFO","2021-11-30"
"0001644600-21-000135",2,"Paul Brethen","Director","2021-11-30"
"0001895723-21-000001",4,"Charlene Jackson","Director","2021-11-30"
"0001895723-21-000001",3,"James Offutt","Director","2021-11-30"
"0001895723-21-000001",2,"Nora Ryan","Director","2021-11-30"
"0001895723-21-000001",1,"Robin Wilson","Director","2021-11-30"
"0001665160-21-002131",1,"Michael Mansouri","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-30"
"0001862075-21-000001",1,"Elvia Guadalupe Ruiz Avila","Sole Director","2021-11-30"
"0001665160-21-002129",1,"Andrew Lorig","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-30"
"0001874824-21-000007",1,"Alison Mears","President","2021-11-30"
"0001665160-21-002128",1,"Rolan Reichel","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-30"
"0001665160-21-002126",1,"Victor Bergonzoli","President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer","2021-11-30"
"0001874824-21-000006",1,"Alison Mears","President","2021-11-30"
"0001665160-21-002125",1,"Robert Rast","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-30"
"0001665160-21-002124",1,"Jacques Beaudry Losique","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-30"
"0001665160-21-002121",1,"Lance King","President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer","2021-11-30"
"0001864224-21-000005",2,"Brandon Jones","Director","2021-11-30"
"0001864224-21-000005",1,"Shabazz Stuart","Director","2021-11-30"
"0001670254-21-001328",1,"P Benjamin Howard","CTO","2021-11-24"
"0001670254-21-001328",2,"Daniel Gizzi","CFO","2021-11-24"
"0001670254-21-001328",3,"Jonathan Evans","CEO - Chief Executive Officer","2021-11-24"
"0001665160-21-002120",1,"Brandon Pargoe","CEO, Principal Executive Officer, Director, Principal Financial Officer, and Principal Accounting Officer","2021-11-30"
"0001669191-21-001172",5,"NATASHA SEAY","Board Member","2021-11-30"
"0001669191-21-001172",3,"NATASHA SEAY","Principal Accounting Officer","2021-11-30"
"0001669191-21-001172",2,"DWAYNE SAMUELS","Principal Financial Officer","2021-11-30"
"0001669191-21-001172",1,"DWAYNE SAMUELS","Principal Executive Officer","2021-11-30"
"0001669191-21-001172",4,"DWAYNE SAMUELS","Board Member","2021-11-30"
"0001665160-21-002118",1,"Brandon Pargoe","CEO, Principal Executive Officer, Director, Principal Financial Officer, and Principal Accounting Officer","2021-11-30"
"0001669191-21-001170",4,"Kauffman Scott","Board Member","2021-11-30"
"0001669191-21-001170",1,"Kauffman Scott","Principal Executive Officer","2021-11-30"
"0001669191-21-001170",2,"Kauffman Scott","Principal Financial Officer","2021-11-30"
"0001669191-21-001170",3,"Kauffman Scott","Principal Accounting Officer","2021-11-30"
"0001669191-21-001168",2,"Jimmy Ezzell","Board Member","2021-11-30"
"0001669191-21-001168",1,"Jimmy Ezzell","Principal Executive Officer","2021-11-30"
"0001746059-21-000578",1,"Elias Majid","Owner and Founder","2021-11-30"
"0001746059-21-000577",1,"Caitlin Olsen","Owner and Founder","2021-11-30"
"0001861802-21-000003",1,"Anthony Do","CEO","2021-11-30"
"0001665160-21-002115",1,"Rudi Pienaar","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-30"
"0001644600-21-000130",2,"Eric S. Rollman","President, Chief Content Officer, and Director","2021-11-30"
"0001644600-21-000130",1,"Jeffrey Vinokur","CEO and Director","2021-11-30"
"0001821982-21-000016",1,"Zebulon Parsons","CEO","2021-11-30"
"0001888810-21-000004",2,"Roelof Botha","Director","2021-11-29"
"0001888810-21-000004",3,"Matt Coffin","Director","2021-11-29"
"0001857848-21-000002",1,"Andrew Page","Director","2021-11-29"
"0001670254-21-001326",1,"Trung Pham","Founder & CEO","2021-11-26"
"0001670254-21-001324",2,"Ariana Stein","CEO + Co-Founder","2021-11-24"
"0001888810-21-000004",1,"Jason Calacanis","Chief Executive Officer, President, Chief Financial Officer, Secretary and Director","2021-11-29"
"0001857848-21-000002",2,"Anuj Patel","Director","2021-11-29"
"0001670254-21-001324",1,"Patricia Rodriguez","Co-Founder","2021-11-24"
"0001894171-21-000001",1,"Michael Earley","President","2021-11-19"
"0001665160-21-002113",1,"Derek Waleko","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-29"
"0001813321-21-000004",1,"/s/ Sean O'Neill","President","2021-11-29"
"0001888810-21-000003",1,"Jonas Guenther","Director","2021-11-29"
"0001888810-21-000003",2,"Daniel Bernstein","Director","2021-11-29"
"0001888810-21-000003",3,"Michael Udovich","Director","2021-11-29"
"0001845905-21-000004",1,"Nancy Kalish","CEO & Manager","2021-11-29"
"0001880280-21-000001",1,"Nicholas Schroeder","Manager and Co-CEO","2021-11-29"
"0001665160-21-002112",1,"Megan Feeman","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-29"
"0001665160-21-002111",1,"Phillip LaBonty","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-29"
"0001746059-21-000576",1,"John Fredericks","Owner and Founder","2021-11-29"
"0001746059-21-000575",1,"Tiffany Pauldon","Owner and Founder","2021-11-29"
"0001746059-21-000574",1,"Chester Chambers","Owner and Founder","2021-11-29"
"0001669191-21-001166",2,"Sean Adler","Principal Financial Officer","2021-11-29"
"0001669191-21-001166",4,"Sean Adler","Board Member","2021-11-29"
"0001669191-21-001166",1,"Sean Adler","Principal Executive Officer","2021-11-29"
"0001669191-21-001166",3,"Sean Adler","Principal Accounting Officer","2021-11-29"
"0001746059-21-000573",1,"Edward Sturgess Jr.","Owner and CEO","2021-11-29"
"0001669191-21-001164",4,"Hilary Joy  Diaz","Board Member","2021-11-29"
"0001669191-21-001164",6,"Daniel Diaz","Board Member","2021-11-29"
"0001669191-21-001164",5,"Judy  Deuchar","Board Member","2021-11-29"
"0001669191-21-001164",3,"Hilary Joy  Diaz","Principal Accounting Officer","2021-11-29"
"0001669191-21-001164",2,"Hilary Joy  Diaz","Principal Financial Officer","2021-11-29"
"0001669191-21-001164",1,"Hilary Joy  Diaz","Principal Executive Officer","2021-11-29"
"0001746059-21-000572",1,"Todd Stern","Owner and Founder","2021-11-29"
"0001669191-21-001162",1,"Glen DeBarros","Principal Executive Officer","2021-11-29"
"0001669191-21-001162",2,"Robbie DeBarros","Principal Financial Officer","2021-11-29"
"0001669191-21-001162",6,"Robbie DeBarros","Board Member","2021-11-29"
"0001669191-21-001162",3,"Robbie DeBarros","Principal Accounting Officer","2021-11-29"
"0001669191-21-001162",4,"Glen DeBarros","Board Member","2021-11-29"
"0001669191-21-001162",5,"Gerardo  Melendrez","Board Member","2021-11-29"
"0001665160-21-002109",1,"Atul Patel","President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer","2021-11-29"
"0001669191-21-001160",3,"Eric Weaver","Principal Accounting Officer","2021-11-29"
"0001669191-21-001160",4,"Eric Weaver","Board Member","2021-11-29"
"0001669191-21-001160",5,"Mark Kammerer","Board Member","2021-11-29"
"0001669191-21-001160",1,"Eric Weaver","Principal Executive Officer","2021-11-29"
"0001669191-21-001160",2,"Eric Weaver","Principal Financial Officer","2021-11-29"
"0001669191-21-001158",4,"Robert Feierbach","Board Member","2021-11-29"
"0001669191-21-001158",3,"Robert Feierbach","Principal Accounting Officer","2021-11-29"
"0001669191-21-001158",2,"Robert Feierbach","Principal Financial Officer","2021-11-29"
"0001669191-21-001158",1,"Robert Feierbach","Principal Executive Officer","2021-11-29"
"0001665160-21-002108",1,"Scott K. Donoho","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-29"
"0001665160-21-002107",1,"Jason Parker","President/Secretary","2021-11-29"
"0001737679-21-000006",1,"Kevin Hillman","CEO","2021-11-29"
"0001737679-21-000005",1,"Robert Salvador","CEO","2021-11-29"
"0001746059-21-000571",1,"Tae Kang","Owner","2021-11-29"
"0001665160-21-002106",1,"Arya Mazanek","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer.","2021-11-29"
"0001669191-21-001155",4,"Shari Noonan","Board Member","2021-11-26"
"0001669191-21-001155",3,"Shari Noonan","Principal Accounting Officer","2021-11-26"
"0001669191-21-001155",2,"Shari Noonan","Principal Financial Officer","2021-11-26"
"0001669191-21-001155",1,"Shari Noonan","Principal Executive Officer","2021-11-26"
"0001670254-21-001323",2,"Ruslan Bugaev","Founder and CEO","2021-06-24"
"0001670254-21-001323",1,"Semion Matyash","Founder","2021-06-24"
"0001746059-21-000570",1,"Charles Morgridge","Owner and President","2021-11-26"
"0001746059-21-000569",1,"Christopher Waldron","Owner and CoFounder","2021-11-26"
"0001665160-21-002104",1,"Stephen Graves","President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer","2021-11-24"
"0001882590-21-000001",3,"Sergei Badeka","Chief Business Officer","2021-11-24"
"0001882590-21-000001",2,"Leonid Kontsevich","Chairman & Co-Founder","2021-11-24"
"0001882590-21-000001",1,"Hua Yang","CEO & Co-Founder","2021-11-24"
"0001891790-21-000007",1,"Othello Byndon","CEO","2021-11-24"
"0001665160-21-002103",1,"Sean Simmons","President, CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-24"
"0001665160-21-002102",1,"Cindy Diffenderfer","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-24"
"0001665160-21-002100",1,"Brandon Perry","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-24"
"0001665160-21-002100",2,"Scott Hansen","Director","2021-11-24"
"0001837254-21-000015",1,"Zayn Kalyan","President","2021-08-09"
"0001665160-21-002099",1,"Nathan Tahbaz","CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer","2021-11-24"
"0001665160-21-002097",1,"Umit Yelken","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-24"
"0001881328-21-000002",1,"Gregory Mitchell","CEO","2021-11-24"
"0001746059-21-000568",2,"Michael Brune","Owner and CoFounder","2021-11-24"
"0001746059-21-000568",1,"Kimberly DeStefano","Owner and CoFounder","2021-11-24"
"0001746059-21-000567",1,"Deric Cahill","Owner and Founder","2021-11-24"
"0001665160-21-002096",3,"Tyler Harris","Vice President, Director","2021-11-24"
"0001665160-21-002096",2,"Hal Adams","Director","2021-11-24"
"0001665160-21-002096",1,"Trevor Bates","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-24"
"0001665160-21-002095",1,"Colin Davis","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer.","2021-11-24"
"0001746059-21-000566",1,"Ibraheem Abdul-Malik","Owner and Founder","2021-11-24"
"0001665160-21-002094",2,"Lance Stokes","COO, Controller, Principal Financial Officer and Principal Accounting Officer","2021-11-24"
"0001665160-21-002094",1,"Lauren Stokes","CEO, Principal Executive Officer and Director","2021-11-24"
"0001665160-21-002092",1,"Sara Margulis","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-24"
"0001670254-21-001321",2,"Jacob Lopata","CEO","2021-11-22"
"0001665160-21-002088",1,"Eyal Amir","President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer","2021-11-23"
"0001670254-21-001319",1,"Naim Statham","COO","2021-11-18"
"0001670254-21-001319",2,"Kevin Thompson","CEO","2021-11-18"
"0001665160-21-002089",1,"Brandon Perry","CEO, Principal Executive Officer and Director","2021-11-23"
"0001665160-21-002089",2,"Scott Hansen","COO, CFO, Principal Financial Officer, Principal Accounting Officer and Director","2021-11-23"
"0001670254-21-001321",1,"James Le Compte","Director","2021-11-23"
"0001746059-21-000565",1,"Benjamin Crosky","Owner and Founder","2021-11-23"
"0001746059-21-000563",1,"Brendan Buell","Owner and Founder","2021-11-23"
"0001746059-21-000562",1,"Paul Seres","Owner and CoFounder","2021-11-23"
"0001827501-21-000005",1,"Aamar Khwaja","President CEO","2020-11-25"
"0001670254-21-001317",2,"Younis Zubchevich","Co-Founder & President","2021-11-18"
"0001670254-21-001317",1,"Adrian vargas","CEO","2021-11-19"
"0001665160-21-002086",1,"William Patridge","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-23"
"0001670254-21-001316",1,"Rockwell Scharer","Founder and Chief Executive Officer","2021-11-23"
"0001669191-21-001152",2,"John  Adamson, Jr.,","Principal Financial Officer","2021-11-23"
"0001669191-21-001152",5,"Kathyrn Smith","Board Member","2021-11-23"
"0001669191-21-001152",4,"Catherine Bryant","Board Member","2021-11-23"
"0001669191-21-001152",3,"John  Adamson, Jr.,","Principal Accounting Officer","2021-11-23"
"0001669191-21-001152",1,"John  Adamson, Jr.,","Principal Executive Officer","2021-11-23"
"0001868902-21-000003",1,"Nathan Jacobs","CEO","2021-11-23"
"0001893768-21-000001",2,"Sanet Kritzinger","Manager","2021-11-23"
"0001893768-21-000001",3,"Osment Cunningham","Manager","2021-11-23"
"0001893768-21-000001",1,"David Michael Brett Johnson","Manager","2021-11-23"
"0001666102-21-000023",1,"Gamal A. Walker","Managing Partner","2021-11-23"
"0001746059-21-000561",1,"Lanise Thomas","Owner and CoFounder","2021-11-23"
"0001746059-21-000561",2,"Janine Smalls","Owner and CoFounder","2021-11-23"
"0001894288-21-000002",1,"Samantha Story-Camp","President","2021-11-23"
"0001894288-21-000001",1,"Justin Lepley","President","2021-11-23"
"0001746059-21-000560",1,"Jamal Jackson","Owner and Operator","2021-11-23"
"0001665160-21-002083",1,"Tim Krueger","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-22"
"0001746059-21-000559",1,"Michael Smelt","Owner and Founder","2021-11-23"
"0001746059-21-000558",1,"Sara Gayle McConnell","VP Operations","2021-11-23"
"0001665160-21-002080",1,"Luke Phelps","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-23"
"0001213900-21-061360",1,"/s/ Jan Lucanus","Chief Executive Officer","2021-11-22"
"0001665160-21-002076",1,"Kevin McGregor","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-22"
"0001665160-21-002078",1,"Kevin Morin","President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer","2021-11-22"
"0001665160-21-002073",1,"Nathan Harding","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-22"
"0001665160-21-002073",2,"Joanne Chen","Director","2021-11-22"
"0001665160-21-002073",3,"Lynn Heublein","Director","2021-11-22"
"0001665160-21-002071",1,"Vipin Jain","President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer","2021-11-22"
"0001213900-21-061125",1,"/s/ Zoltan Nagy","CEO","2021-11-19"
"0001665160-21-002069",1,"Phil Layton","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-22"
"0001665160-21-002068",1,"Steve La Roux","CEO","2021-11-22"
"0001670254-21-001314",4,"Julian Englert","Co-founder and CEO","2021-11-18"
"0001670254-21-001314",3,"Daniel Nakhaee-Zadeh Gutierrez","Co-founder and COO","2021-11-18"
"0001670254-21-001314",2,"Moustafa Houmani","Co-founder and CTO","2021-11-19"
"0001670254-21-001314",1,"Amir Shahein","Co-founder and CSO","2021-11-22"
"0001837254-21-000014",1,"Zayn Kalyan","President","2020-12-24"
"0001860502-21-000005",1,"Trung Tran","CEO","2021-11-22"
"0001860502-21-000004",1,"Adrien Chatillon","CEO","2021-11-22"
"0001666102-21-000022",1,"James B frank","Chief Operations Officer","2021-11-20"
"0001666102-21-000021",1,"Gamal A. Walker","Managing Partner","2021-11-19"
"0001889135-21-000001",1,"/Josh Maslowski/","CEO","2021-11-19"
"0001665160-21-002064",1,"J. Thomas Graham","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-19"
"0001665160-21-002063",1,"John Bair","President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer","2021-11-19"
"0001665160-21-002062",1,"Cindy Diffenderfer","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-19"
"0001669191-21-001150",1,"Pierre  Rogers","Principal Executive Officer","2021-11-19"
"0001669191-21-001150",3,"Joshua  Leavitt","Principal Accounting Officer","2021-11-19"
"0001669191-21-001150",4,"Jonathan Cooper","Board Member","2021-11-19"
"0001669191-21-001150",5,"Pierre  Rogers","Board Member","2021-11-19"
"0001669191-21-001150",6,"Joshua  Leavitt","Board Member","2021-11-19"
"0001669191-21-001150",2,"Joshua  Leavitt","Principal Financial Officer","2021-11-19"
"0001669191-21-001148",2,"Charles Mueller","Principal Financial Officer","2021-11-19"
"0001669191-21-001148",5,"Charles Mueller","Board Member","2021-11-19"
"0001669191-21-001148",1,"Jeff Sutherland","Principal Executive Officer","2021-11-19"
"0001669191-21-001148",4,"Timothy  Bennett","Board Member","2021-11-19"
"0001669191-21-001148",3,"Charles Mueller","Principal Accounting Officer","2021-11-19"
"0001669191-21-001147",1,"Andrew   Tight","Principal Executive Officer","2021-11-19"
"0001669191-21-001147",3,"Tim Tight","Principal Accounting Officer","2021-11-19"
"0001669191-21-001147",4,"Kyle Haley","Board Member","2021-11-19"
"0001669191-21-001147",5,"Tim Tight","Board Member","2021-11-19"
"0001669191-21-001147",6,"Andrew   Tight","Board Member","2021-11-19"
"0001669191-21-001147",2,"Tim Tight","Principal Financial Officer","2021-11-19"
"0001665160-21-002061",1,"Geoff Patterson","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principle Accounting Officer","2021-11-19"
"0001827264-21-000011",1,"Tae Young Lee","CEO","2021-11-19"
"0001853183-21-000004",1,"Neil Biafore by Sean Fuellhart POA","CEO","2021-11-19"
"0001665160-21-002059",1,"Nathan Tahbaz","CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer","2021-11-19"
"0001665160-21-002057",1,"Zachary Lambert","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-19"
"0001665160-21-002055",1,"Angela Benton","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-19"
"0001690433-21-000009",5,"Jonathan Meltzer","Board Member","2021-11-19"
"0001690433-21-000009",3,"Andrew Siegel","Board Member","2021-11-19"
"0001690433-21-000009",2,"Dom Curcio","Board Member","2021-11-19"
"0001690433-21-000009",1,"Jeff Lewis","CEO","2021-11-19"
"0001690433-21-000009",4,"Ralph Greene","Board Member","2021-11-19"
"0001665160-21-002054",1,"J. Thomas Graham","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-19"
"0001665160-21-002052",1,"David Kirby","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-19"
"0001665160-21-002049",3,"Teresa Nealon","President, Principal Financial Officer and Principal Accounting Officer","2021-11-19"
"0001665160-21-002049",2,"Geoffrey Thyne","Secretary and Director","2021-11-19"
"0001665160-21-002049",1,"Salem Thyne","CEO, Principal Executive Officer and Director","2021-11-19"
"0001746059-21-000557",1,"Christin Deville","Owner and CoFounder","2021-11-19"
"0001866890-21-000003",2,"Margaret C. Caracciolo","Founder/CEO","2021-07-06"
"0001866890-21-000003",3,"Paul J. Caracciolo","Chief Scientific Officer/Science Advisor","2021-07-06"
"0001866890-21-000003",1,"Angela Miller","Vice President of Operations","2021-07-06"
"0001894384-21-000001",1,"Mark Anthony","President","2021-11-18"
"0001862162-21-000008",1,"Kevin Lundy","Founder & CEO","2021-11-18"
"0001890670-21-000004",1,"Mitchella Gilbert","CEO","2021-10-27"
"0001890670-21-000005",1,"Mitchella Gilbert","CEO","2021-10-27"
"0001827501-21-000004",1,"Aamar Khwaja","President CEO","2020-11-25"
"0001665160-21-002047",1,"Yuliang Du","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-18"
"0001890670-21-000003",1,"Mitchella Gilbert","CEO","2021-10-27"
"0001853811-21-000001",1,"Michael Keith Bolen II","President of the Issuer's Manager","2021-11-18"
"0001669191-21-001143",1,"Kauffman Scott","Principal Executive Officer","2021-11-18"
"0001669191-21-001143",2,"Kauffman Scott","Principal Financial Officer","2021-11-18"
"0001669191-21-001143",3,"Kauffman Scott","Principal Accounting Officer","2021-11-18"
"0001669191-21-001143",4,"Kauffman Scott","Board Member","2021-11-18"
"0001665160-21-002045",2,"David Lentz","Principal Accounting Officer, Principal Financial Officer, Acounting Manager","2021-11-18"
"0001665160-21-002045",1,"Brent Zimmerman","CEO, CO-Founder, Principal Executive Officer and Manager,","2021-11-18"
"0001665160-21-002045",3,"Matt Shubeck","COO","2021-11-18"
"0001665160-21-002044",1,"Jennifer Smith","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-18"
"0001892861-21-000002",1,"Kristina Hale","Owner","2021-11-18"
"0001665160-21-002042",1,"Todd Thompson","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-18"
"0001670254-21-001312",3,"Andrew Luong","Co-Founder & CEO","2021-11-17"
"0001670254-21-001312",1,"Brent Murri","Principal","2021-11-17"
"0001670254-21-001312",2,"Justin Kasad","Co-Founder & CTO","2021-11-17"
"0001665160-21-002040",1,"Jeff Slosar","CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer","2021-11-18"
"0001670254-21-001310",3,"Andrew Luong","Co-Founder & CEO","2021-11-17"
"0001670254-21-001310",2,"Justin Kasad","Co-Founder & CTO","2021-11-17"
"0001670254-21-001310",1,"Brent Murri","Principal","2021-11-17"
"0001665160-21-002038",1,"Michael Williston","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-11-18"
"0001886014-21-000004",1,"Kristina Hale","Owner","2021-11-18"
"0001886014-21-000003",1,"Lauren Beth Marts","President","2021-11-18"
"0001886014-21-000001",1,"Danielle Rowell","Owner","2021-11-18"
"0001863224-21-000005",1,"Josiah Umezurike","Founder & CEO","2021-11-18"
"0001863224-21-000004",1,"Ben White","Founder & CEO","2021-11-18"
"0001863224-21-000003",1,"Andrew Thompson","Founder & CEO","2021-11-18"
"0001665160-21-002035",1,"Russell Smith","CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer","2021-11-18"
"0001670254-21-001306",1,"Hugh Olson IV","CFO","2021-11-17"
"0001665160-21-002031",1,"J. Thomas Graham,","CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer","2021-10-31"
"0001670254-21-001308",2,"Andy Kaminski","Chief Executive Officer","2021-11-17"
"0001670254-21-001308",1,"Hugh Olson IV","CFO","2021-11-17"
"0001670254-21-001306",2,"Andy Kaminski","Chief Executive Officer","2021-11-17"
"0001670254-21-001309",1,"Hugh Olson IV","CFO","2021-11-17"
"0001759667-21-000007",2,"Jason Moyer","Chief Financial Officer","2021-11-17"
"0001759667-21-000007",1,"Lora LeeAnne Haddock DiCarlo","Director","2021-11-17"
"0001670254-21-001309",2,"Andy Kaminski","Chief Executive Officer","2021-11-17"
"0001746059-21-000556",1,"Dakota Rudloff-Eastman","Owner and Founder","2021-11-17"
"0001613899-21-000007",3,"J. Phillips L. Johnston, Sr.","Chief Legal Officer","2021-11-17"
"0001613899-21-000007",5,"Dr. Paul W. Dent","Director","2021-11-17"
"0001613899-21-000007",4,"Robert Belts","Chief Financial Officer","2021-11-17"
"0001613899-21-000007",2,"William F. Griffin","President & CEO","2021-11-17"
"0001613899-21-000007",1,"John Stephen Burnett","Chairman","2021-11-17"
"0001613899-21-000006",3,"J. Phillips L. Johnston, Sr.","Chief Legal Officer","2021-11-17"
"0001613899-21-000006",4,"Robert Belts","Chief Financial Officer","2021-11-17"
